"orthology_group","gene_stable_id","protein_stable_id","species","orthology_designation"
"000000019","AT3G19940","AT3G19940.1","arabidopsis_thaliana","all life"
"000000019","AT3G20460","AT3G20460.1","arabidopsis_thaliana","all life"
"000000019","AT3G51490","AT3G51490.2","arabidopsis_thaliana","all life"
"000000019","AT4G02050","AT4G02050.1","arabidopsis_thaliana","all life"
"000000019","AT4G04750","AT4G04750.3","arabidopsis_thaliana","all life"
"000000019","AT4G04760","AT4G04760.1","arabidopsis_thaliana","all life"
"000000019","AT4G16480","AT4G16480.1","arabidopsis_thaliana","all life"
"000000019","AT4G21480","AT4G21480.1","arabidopsis_thaliana","all life"
"000000019","AT4G35300","AT4G35300.7","arabidopsis_thaliana","all life"
"000000019","AT4G36670","AT4G36670.1","arabidopsis_thaliana","all life"
"000000019","AT5G16150","AT5G16150.3","arabidopsis_thaliana","all life"
"000000019","AT5G17010","AT5G17010.4","arabidopsis_thaliana","all life"
"000000019","AT5G18840","AT5G18840.1","arabidopsis_thaliana","all life"
"000000019","AT5G23270","AT5G23270.1","arabidopsis_thaliana","all life"
"000000019","AT5G26250","AT5G26250.1","arabidopsis_thaliana","all life"
"000000019","AT5G26340","AT5G26340.1","arabidopsis_thaliana","all life"
"000000019","AT5G27350","AT5G27350.1","arabidopsis_thaliana","all life"
"000000019","AT5G27360","AT5G27360.3","arabidopsis_thaliana","all life"
"000000019","AT5G59250","AT5G59250.1","arabidopsis_thaliana","all life"
"000000019","AT5G61520","AT5G61520.1","arabidopsis_thaliana","all life"
"000000019","ENSDARG00000001437","ENSDARP00000022579","danio_rerio","all life"
"000000019","ENSDARG00000007412","ENSDARP00000116768","danio_rerio","all life"
"000000019","ENSDARG00000013295","ENSDARP00000143481","danio_rerio","all life"
"000000019","ENSDARG00000029894","ENSDARP00000043657","danio_rerio","all life"
"000000019","ENSDARG00000036865","ENSDARP00000053530","danio_rerio","all life"
"000000019","ENSDARG00000037861","ENSDARP00000143692","danio_rerio","all life"
"000000019","ENSDARG00000053269","ENSDARP00000069770","danio_rerio","all life"
"000000019","ENSDARG00000053961","ENSDARP00000153215","danio_rerio","all life"
"000000019","ENSDARG00000056196","ENSDARP00000073100","danio_rerio","all life"
"000000019","ENSDARG00000058731","ENSDARP00000076098","danio_rerio","all life"
"000000019","ENSDARG00000063288","ENSDARP00000086765","danio_rerio","all life"
"000000019","ENSDARG00000070672","ENSDARP00000094758","danio_rerio","all life"
"000000019","ENSDARG00000076899","ENSDARP00000128764","danio_rerio","all life"
"000000019","ENSDARG00000077875","ENSDARP00000113142","danio_rerio","all life"
"000000019","ENSDARG00000087867","ENSDARP00000106764","danio_rerio","all life"
"000000019","ENSDARG00000090820","ENSDARP00000130266","danio_rerio","all life"
"000000019","ENSDARG00000104278","ENSDARP00000133291","danio_rerio","all life"
"000000019","ENSDARG00000117001","ENSDARP00000153836","danio_rerio","all life"
"000000019","ENSG00000197496","ENSP00000352216","homo_sapiens","all life"
"000000019","ENSMUSG00000003153","ENSMUSP00000032476","mus_musculus","all life"
"000000019","ENSMUSG00000005107","ENSMUSP00000063352","mus_musculus","all life"
"000000019","ENSMUSG00000018566","ENSMUSP00000018710","mus_musculus","all life"
"000000019","ENSMUSG00000026791","ENSMUSP00000028129","mus_musculus","all life"
"000000019","ENSMUSG00000027661","ENSMUSP00000029196","mus_musculus","all life"
"000000019","ENSMUSG00000027690","ENSMUSP00000029240","mus_musculus","all life"
"000000019","ENSMUSG00000028645","ENSMUSP00000030398","mus_musculus","all life"
"000000019","ENSMUSG00000028976","ENSMUSP00000030826","mus_musculus","all life"
"000000019","ENSMUSG00000036067","ENSMUSP00000049103","mus_musculus","all life"
"000000019","ENSMUSG00000036298","ENSMUSP00000104906","mus_musculus","all life"
"000000019","ENSMUSG00000037490","ENSMUSP00000043962","mus_musculus","all life"
"000000019","ENSMUSG00000062064","ENSMUSP00000059106","mus_musculus","all life"
"000000019","FBgn0015230","FBpp0082790","drosophila_melanogaster","all life"
"000000019","FBgn0028560","FBpp0088616","drosophila_melanogaster","all life"
"000000019","FBgn0028561","FBpp0087857","drosophila_melanogaster","all life"
"000000019","FBgn0028562","FBpp0087856","drosophila_melanogaster","all life"
"000000019","FBgn0028563","FBpp0087855","drosophila_melanogaster","all life"
"000000019","FBgn0029932","FBpp0070973","drosophila_melanogaster","all life"
"000000019","FBgn0031517","FBpp0077268","drosophila_melanogaster","all life"
"000000019","FBgn0031520","FBpp0308629","drosophila_melanogaster","all life"
"000000019","FBgn0031522","FBpp0077274","drosophila_melanogaster","all life"
"000000019","FBgn0031523","FBpp0077275","drosophila_melanogaster","all life"
"000000019","FBgn0033047","FBpp0307247","drosophila_melanogaster","all life"
"000000019","FBgn0033644","FBpp0087180","drosophila_melanogaster","all life"
"000000019","FBgn0034045","FBpp0300975","drosophila_melanogaster","all life"
"000000019","FBgn0034247","FBpp0086060","drosophila_melanogaster","all life"
"000000019","FBgn0034909","FBpp0072148","drosophila_melanogaster","all life"
"000000019","FBgn0036066","FBpp0076045","drosophila_melanogaster","all life"
"000000019","FBgn0036316","FBpp0075674","drosophila_melanogaster","all life"
"000000019","FBgn0037386","FBpp0112109","drosophila_melanogaster","all life"
"000000019","FBgn0037387","FBpp0078293","drosophila_melanogaster","all life"
"000000019","FBgn0037485","FBpp0402857","drosophila_melanogaster","all life"
"000000019","FBgn0037486","FBpp0081119","drosophila_melanogaster","all life"
"000000019","FBgn0038414","FBpp0082721","drosophila_melanogaster","all life"
"000000019","FBgn0038415","FBpp0271727","drosophila_melanogaster","all life"
"000000019","FBgn0038416","FBpp0082723","drosophila_melanogaster","all life"
"000000019","FBgn0050035","FBpp0087178","drosophila_melanogaster","all life"
"000000019","FBgn0051100","FBpp0081489","drosophila_melanogaster","all life"
"000000019","FBgn0052053","FBpp0076044","drosophila_melanogaster","all life"
"000000019","FBgn0052054","FBpp0076043","drosophila_melanogaster","all life"
"000000019","FBgn0053281","FBpp0077272","drosophila_melanogaster","all life"
"000000019","FBgn0053282","FBpp0112370","drosophila_melanogaster","all life"
"000000019","FBgn0262007","FBpp0292840","drosophila_melanogaster","all life"
"000000019","FBgn0262008","FBpp0292839","drosophila_melanogaster","all life"
"000000019","SPAC1F8.01","SPAC1F8.01.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPAC20G8.03","SPAC20G8.03.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPAC4F8.15","SPAC4F8.15.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPAPB1E7.08c","SPAPB1E7.08c.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPBC1348.14c","SPBC1348.14c.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPBC1683.08","SPBC1683.08.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPBC4B4.08","SPBC4B4.08.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPCC1235.13","SPCC1235.13.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPCC1235.14","SPCC1235.14.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPCC548.06c","SPCC548.06c.1:pep","schizosaccharomyces_pombe","all life"
"000000019","SPCC548.07c","SPCC548.07c.1:pep","schizosaccharomyces_pombe","all life"
"000000019","WBGene00006865","ZK563.1.1","caenorhabditis_elegans","all life"
"000000019","WBGene00008730","F13B12.2.1","caenorhabditis_elegans","all life"
"000000019","WBGene00010684","K08F9.1a.1","caenorhabditis_elegans","all life"
"000000019","WBGene00010698","K08H10.6.1","caenorhabditis_elegans","all life"
"000000019","WBGene00010811","M01F1.5.2","caenorhabditis_elegans","all life"
"000000019","WBGene00012536","Y37A1A.3.1","caenorhabditis_elegans","all life"
"000000019","WBGene00013074","Y51A2D.5.1","caenorhabditis_elegans","all life"
"000000019","WBGene00016431","C35A11.4.1","caenorhabditis_elegans","all life"
"000000019","WBGene00017382","F11D5.5.1","caenorhabditis_elegans","all life"
"000000019","WBGene00019207","H17B01.1b.1","caenorhabditis_elegans","all life"
"000000019","WBGene00019547","K09C4.1a.1","caenorhabditis_elegans","all life"
"000000019","WBGene00019548","K09C4.2.1","caenorhabditis_elegans","all life"
"000000019","WBGene00019549","K09C4.4.1","caenorhabditis_elegans","all life"
"000000019","WBGene00019550","K09C4.5.1","caenorhabditis_elegans","all life"
"000000019","WBGene00022014","Y61A9LA.1a.1","caenorhabditis_elegans","all life"
"000000019","WBGene00043980","F11D5.7.1","caenorhabditis_elegans","all life"
"000000019","YBR241C","YBR241C","saccharomyces_cerevisiae","all life"
"000000019","YBR298C","YBR298C","saccharomyces_cerevisiae","all life"
"000000019","YDL138W","YDL138W","saccharomyces_cerevisiae","all life"
"000000019","YDL194W","YDL194W","saccharomyces_cerevisiae","all life"
"000000019","YDL199C","YDL199C","saccharomyces_cerevisiae","all life"
"000000019","YDL245C","YDL245C","saccharomyces_cerevisiae","all life"
"000000019","YDL247W","YDL247W","saccharomyces_cerevisiae","all life"
"000000019","YDR342C","YDR342C","saccharomyces_cerevisiae","all life"
"000000019","YDR343C","YDR343C","saccharomyces_cerevisiae","all life"
"000000019","YDR345C","YDR345C","saccharomyces_cerevisiae","all life"
"000000019","YDR387C","YDR387C","saccharomyces_cerevisiae","all life"
"000000019","YDR497C","YDR497C","saccharomyces_cerevisiae","all life"
"000000019","YDR536W","YDR536W","saccharomyces_cerevisiae","all life"
"000000019","YEL069C","YEL069C","saccharomyces_cerevisiae","all life"
"000000019","YFL011W","YFL011W","saccharomyces_cerevisiae","all life"
"000000019","YGL104C","YGL104C","saccharomyces_cerevisiae","all life"
"000000019","YGR289C","YGR289C","saccharomyces_cerevisiae","all life"
"000000019","YHR092C","YHR092C","saccharomyces_cerevisiae","all life"
"000000019","YHR094C","YHR094C","saccharomyces_cerevisiae","all life"
"000000019","YHR096C","YHR096C","saccharomyces_cerevisiae","all life"
"000000019","YJL214W","YJL214W","saccharomyces_cerevisiae","all life"
"000000019","YJL219W","YJL219W","saccharomyces_cerevisiae","all life"
"000000019","YJR158W","YJR158W","saccharomyces_cerevisiae","all life"
"000000019","YJR160C","YJR160C","saccharomyces_cerevisiae","all life"
"000000019","YKL217W","YKL217W","saccharomyces_cerevisiae","all life"
"000000019","YLR081W","YLR081W","saccharomyces_cerevisiae","all life"
"000000019","YMR011W","YMR011W","saccharomyces_cerevisiae","all life"
"000000019","YNR072W","YNR072W","saccharomyces_cerevisiae","all life"
"000000019","YOL103W","YOL103W","saccharomyces_cerevisiae","all life"
"000000019","YOL156W","YOL156W","saccharomyces_cerevisiae","all life"
"000000019","b0045","AAC73156","escherichia_coli","all life"
"000000033","AT1G31180","AT1G31180.2","arabidopsis_thaliana","all life"
"000000033","AT1G32480","AT1G32480.1","arabidopsis_thaliana","all life"
"000000033","AT1G80555","AT1G80555.2","arabidopsis_thaliana","all life"
"000000033","AT1G80560","AT1G80560.1","arabidopsis_thaliana","all life"
"000000033","AT2G17130","AT2G17130.1","arabidopsis_thaliana","all life"
"000000033","AT3G09810","AT3G09810.1","arabidopsis_thaliana","all life"
"000000033","AT4G35260","AT4G35260.1","arabidopsis_thaliana","all life"
"000000033","AT4G35650","AT4G35650.1","arabidopsis_thaliana","all life"
"000000033","AT5G03290","AT5G03290.1","arabidopsis_thaliana","all life"
"000000033","AT5G14200","AT5G14200.1","arabidopsis_thaliana","all life"
"000000033","ENSDARG00000023648","ENSDARP00000094764","danio_rerio","all life"
"000000033","ENSDARG00000030278","ENSDARP00000094415","danio_rerio","all life"
"000000033","ENSDARG00000044753","ENSDARP00000124593","danio_rerio","all life"
"000000033","ENSG00000101365","ENSP00000482773","homo_sapiens","all life"
"000000033","ENSMUSG00000002010","ENSMUSP00000056502","mus_musculus","all life"
"000000033","ENSMUSG00000027406","ENSMUSP00000028892","mus_musculus","all life"
"000000033","ENSMUSG00000032279","ENSMUSP00000127526","mus_musculus","all life"
"000000033","ENSMUSG00000084234","ENSMUSP00000138215","mus_musculus","all life"
"000000033","FBgn0027291","FBpp0307649","drosophila_melanogaster","all life"
"000000033","FBgn0034105","FBpp0086326","drosophila_melanogaster","all life"
"000000033","FBgn0035005","FBpp0072200","drosophila_melanogaster","all life"
"000000033","FBgn0038922","FBpp0083588","drosophila_melanogaster","all life"
"000000033","FBgn0039358","FBpp0112201","drosophila_melanogaster","all life"
"000000033","FBgn0052026","FBpp0076311","drosophila_melanogaster","all life"
"000000033","SPAC11G7.03","SPAC11G7.03.1:pep","schizosaccharomyces_pombe","all life"
"000000033","SPAC31G5.04","SPAC31G5.04.1:pep","schizosaccharomyces_pombe","all life"
"000000033","SPBC1A4.02c","SPBC1A4.02c.1:pep","schizosaccharomyces_pombe","all life"
"000000033","SPBC902.05c","SPBC902.05c.1:pep","schizosaccharomyces_pombe","all life"
"000000033","WBGene00007993","C37E2.1.2","caenorhabditis_elegans","all life"
"000000033","WBGene00009440","F35G12.2.2","caenorhabditis_elegans","all life"
"000000033","WBGene00009664","F43G9.1.2","caenorhabditis_elegans","all life"
"000000033","WBGene00016266","C30F12.7.2","caenorhabditis_elegans","all life"
"000000033","YCL018W","YCL018W","saccharomyces_cerevisiae","all life"
"000000033","YNL037C","YNL037C","saccharomyces_cerevisiae","all life"
"000000033","YOR136W","YOR136W","saccharomyces_cerevisiae","all life"
"000000033","b0073","AAC73184","escherichia_coli","all life"
"000000078","AT1G62430","AT1G62430.1","arabidopsis_thaliana","all life"
"000000078","AT2G45150","AT2G45150.1","arabidopsis_thaliana","all life"
"000000078","AT3G60620","AT3G60620.1","arabidopsis_thaliana","all life"
"000000078","AT4G22340","AT4G22340.3","arabidopsis_thaliana","all life"
"000000078","AT4G26770","AT4G26770.1","arabidopsis_thaliana","all life"
"000000078","ENSDARG00000019549","ENSDARP00000135745","danio_rerio","all life"
"000000078","ENSDARG00000035577","ENSDARP00000003167","danio_rerio","all life"
"000000078","ENSG00000101290","ENSP00000419879","homo_sapiens","all life"
"000000078","ENSMUSG00000029330","ENSMUSP00000031273","mus_musculus","all life"
"000000078","ENSMUSG00000058793","ENSMUSP00000099470","mus_musculus","all life"
"000000078","FBgn0010350","FBpp0312164","drosophila_melanogaster","all life"
"000000078","SPBC13A2.03","SPBC13A2.03.1:pep","schizosaccharomyces_pombe","all life"
"000000078","WBGene00016384","C33H5.18b.2","caenorhabditis_elegans","all life"
"000000078","YBR029C","YBR029C","saccharomyces_cerevisiae","all life"
"000000078","b0175","AAC73286","escherichia_coli","all life"
"000000244","AT1G20560","AT1G20560.1","arabidopsis_thaliana","all life"
"000000244","AT1G21530","AT1G21530.2","arabidopsis_thaliana","all life"
"000000244","AT1G21540","AT1G21540.1","arabidopsis_thaliana","all life"
"000000244","AT1G30520","AT1G30520.1","arabidopsis_thaliana","all life"
"000000244","AT1G55320","AT1G55320.1","arabidopsis_thaliana","all life"
"000000244","AT1G65880","AT1G65880.1","arabidopsis_thaliana","all life"
"000000244","AT1G65890","AT1G65890.1","arabidopsis_thaliana","all life"
"000000244","AT1G66120","AT1G66120.1","arabidopsis_thaliana","all life"
"000000244","AT1G68270","AT1G68270.1","arabidopsis_thaliana","all life"
"000000244","AT1G75960","AT1G75960.1","arabidopsis_thaliana","all life"
"000000244","AT1G76290","AT1G76290.1","arabidopsis_thaliana","all life"
"000000244","AT1G77240","AT1G77240.1","arabidopsis_thaliana","all life"
"000000244","AT2G17650","AT2G17650.1","arabidopsis_thaliana","all life"
"000000244","AT3G16170","AT3G16170.1","arabidopsis_thaliana","all life"
"000000244","AT3G16910","AT3G16910.1","arabidopsis_thaliana","all life"
"000000244","AT3G48990","AT3G48990.1","arabidopsis_thaliana","all life"
"000000244","AT5G16340","AT5G16340.1","arabidopsis_thaliana","all life"
"000000244","AT5G16370","AT5G16370.1","arabidopsis_thaliana","all life"
"000000244","AT5G23050","AT5G23050.1","arabidopsis_thaliana","all life"
"000000244","AT5G36880","AT5G36880.2","arabidopsis_thaliana","all life"
"000000244","ENSDARG00000004880","ENSDARP00000041805","danio_rerio","all life"
"000000244","ENSDARG00000012468","ENSDARP00000002180","danio_rerio","all life"
"000000244","ENSDARG00000032218","ENSDARP00000116558","danio_rerio","all life"
"000000244","ENSDARG00000037781","ENSDARP00000055053","danio_rerio","all life"
"000000244","ENSDARG00000044142","ENSDARP00000044327","danio_rerio","all life"
"000000244","ENSDARG00000059503","ENSDARP00000077215","danio_rerio","all life"
"000000244","ENSDARG00000069029","ENSDARP00000090875","danio_rerio","all life"
"000000244","ENSG00000154930","ENSP00000316924","homo_sapiens","all life"
"000000244","ENSMUSG00000015016","ENSMUSP00000015160","mus_musculus","all life"
"000000244","ENSMUSG00000027452","ENSMUSP00000028944","mus_musculus","all life"
"000000244","ENSMUSG00000029482","ENSMUSP00000031445","mus_musculus","all life"
"000000244","ENSMUSG00000030935","ENSMUSP00000102138","mus_musculus","all life"
"000000244","ENSMUSG00000030945","ENSMUSP00000095690","mus_musculus","all life"
"000000244","ENSMUSG00000030972","ENSMUSP00000063416","mus_musculus","all life"
"000000244","ENSMUSG00000033533","ENSMUSP00000036140","mus_musculus","all life"
"000000244","ENSMUSG00000035948","ENSMUSP00000128209","mus_musculus","all life"
"000000244","ENSMUSG00000047026","ENSMUSP00000045160","mus_musculus","all life"
"000000244","ENSMUSG00000055923","ENSMUSP00000113792","mus_musculus","all life"
"000000244","ENSMUSG00000076435","ENSMUSP00000099453","mus_musculus","all life"
"000000244","FBgn0031703","FBpp0078711","drosophila_melanogaster","all life"
"000000244","SPAC23G3.02c","SPAC23G3.02c.1:pep","schizosaccharomyces_pombe","all life"
"000000244","SPAP7G5.04c","SPAP7G5.04c.1:pep","schizosaccharomyces_pombe","all life"
"000000244","SPCC1827.03c","SPCC1827.03c.1:pep","schizosaccharomyces_pombe","all life"
"000000244","SPCC191.02c","SPCC191.02c.1:pep","schizosaccharomyces_pombe","all life"
"000000244","WBGene00007969","C36A4.9a.2","caenorhabditis_elegans","all life"
"000000244","WBGene00009221","F28F8.2.1","caenorhabditis_elegans","all life"
"000000244","WBGene00018269","F41C3.3.2","caenorhabditis_elegans","all life"
"000000244","WBGene00018488","F46E10.1a.1","caenorhabditis_elegans","all life"
"000000244","WBGene00018579","F47G6.2.1","caenorhabditis_elegans","all life"
"000000244","YAL054C","YAL054C","saccharomyces_cerevisiae","all life"
"000000244","YBR115C","YBR115C","saccharomyces_cerevisiae","all life"
"000000244","YBR222C","YBR222C","saccharomyces_cerevisiae","all life"
"000000244","YLR153C","YLR153C","saccharomyces_cerevisiae","all life"
"000000244","b0335","AAC73438","escherichia_coli","all life"
"000000244","b0586","AAC73687","escherichia_coli","all life"
"000000250","AT1G20560","AT1G20560.1","arabidopsis_thaliana","all life"
"000000250","AT1G21530","AT1G21530.2","arabidopsis_thaliana","all life"
"000000250","AT1G21540","AT1G21540.1","arabidopsis_thaliana","all life"
"000000250","AT1G30520","AT1G30520.1","arabidopsis_thaliana","all life"
"000000250","AT1G55320","AT1G55320.1","arabidopsis_thaliana","all life"
"000000250","AT1G65880","AT1G65880.1","arabidopsis_thaliana","all life"
"000000250","AT1G65890","AT1G65890.1","arabidopsis_thaliana","all life"
"000000250","AT1G66120","AT1G66120.1","arabidopsis_thaliana","all life"
"000000250","AT1G68270","AT1G68270.1","arabidopsis_thaliana","all life"
"000000250","AT1G75960","AT1G75960.1","arabidopsis_thaliana","all life"
"000000250","AT1G76290","AT1G76290.1","arabidopsis_thaliana","all life"
"000000250","AT1G77240","AT1G77240.1","arabidopsis_thaliana","all life"
"000000250","AT2G17650","AT2G17650.1","arabidopsis_thaliana","all life"
"000000250","AT3G16170","AT3G16170.1","arabidopsis_thaliana","all life"
"000000250","AT3G16910","AT3G16910.1","arabidopsis_thaliana","all life"
"000000250","AT5G16340","AT5G16340.1","arabidopsis_thaliana","all life"
"000000250","AT5G16370","AT5G16370.1","arabidopsis_thaliana","all life"
"000000250","AT5G23050","AT5G23050.1","arabidopsis_thaliana","all life"
"000000250","AT5G36880","AT5G36880.2","arabidopsis_thaliana","all life"
"000000250","ENSDARG00000012468","ENSDARP00000002180","danio_rerio","all life"
"000000250","ENSDARG00000037781","ENSDARP00000055053","danio_rerio","all life"
"000000250","ENSDARG00000044142","ENSDARP00000044327","danio_rerio","all life"
"000000250","ENSDARG00000059503","ENSDARP00000077215","danio_rerio","all life"
"000000250","ENSDARG00000069029","ENSDARP00000090875","danio_rerio","all life"
"000000250","ENSG00000154930","ENSP00000316924","homo_sapiens","all life"
"000000250","ENSMUSG00000015016","ENSMUSP00000015160","mus_musculus","all life"
"000000250","ENSMUSG00000027452","ENSMUSP00000028944","mus_musculus","all life"
"000000250","ENSMUSG00000029482","ENSMUSP00000031445","mus_musculus","all life"
"000000250","ENSMUSG00000030935","ENSMUSP00000102138","mus_musculus","all life"
"000000250","ENSMUSG00000030945","ENSMUSP00000095690","mus_musculus","all life"
"000000250","ENSMUSG00000030972","ENSMUSP00000063416","mus_musculus","all life"
"000000250","ENSMUSG00000033533","ENSMUSP00000036140","mus_musculus","all life"
"000000250","ENSMUSG00000047026","ENSMUSP00000045160","mus_musculus","all life"
"000000250","ENSMUSG00000055923","ENSMUSP00000113792","mus_musculus","all life"
"000000250","FBgn0012034","FBpp0078067","drosophila_melanogaster","all life"
"000000250","FBgn0027780","FBpp0088615","drosophila_melanogaster","all life"
"000000250","FBgn0029945","FBpp0071010","drosophila_melanogaster","all life"
"000000250","FBgn0031703","FBpp0078711","drosophila_melanogaster","all life"
"000000250","FBgn0039184","FBpp0311939","drosophila_melanogaster","all life"
"000000250","SPAC23G3.02c","SPAC23G3.02c.1:pep","schizosaccharomyces_pombe","all life"
"000000250","SPAP7G5.04c","SPAP7G5.04c.1:pep","schizosaccharomyces_pombe","all life"
"000000250","SPCC162.02c","SPCC162.02c.1:pep","schizosaccharomyces_pombe","all life"
"000000250","SPCC191.02c","SPCC191.02c.1:pep","schizosaccharomyces_pombe","all life"
"000000250","WBGene00007969","C36A4.9a.2","caenorhabditis_elegans","all life"
"000000250","WBGene00009221","F28F8.2.1","caenorhabditis_elegans","all life"
"000000250","WBGene00012356","W09D6.1c.1","caenorhabditis_elegans","all life"
"000000250","WBGene00016849","C50H11.1.1","caenorhabditis_elegans","all life"
"000000250","WBGene00018269","F41C3.3.2","caenorhabditis_elegans","all life"
"000000250","WBGene00018488","F46E10.1a.1","caenorhabditis_elegans","all life"
"000000250","WBGene00018579","F47G6.2.1","caenorhabditis_elegans","all life"
"000000250","YAL054C","YAL054C","saccharomyces_cerevisiae","all life"
"000000250","YBR115C","YBR115C","saccharomyces_cerevisiae","all life"
"000000250","YBR222C","YBR222C","saccharomyces_cerevisiae","all life"
"000000250","YLR153C","YLR153C","saccharomyces_cerevisiae","all life"
"000000250","b0335","AAC73438","escherichia_coli","all life"
"000000250","b0586","AAC73687","escherichia_coli","all life"
"000000250","b0594","AAC73695","escherichia_coli","all life"
"000000331","AT3G48780","AT3G48780.2","arabidopsis_thaliana","all life"
"000000331","AT3G48790","AT3G48790.1","arabidopsis_thaliana","all life"
"000000331","AT5G04620","AT5G04620.2","arabidopsis_thaliana","all life"
"000000331","AT5G23670","AT5G23670.1","arabidopsis_thaliana","all life"
"000000331","ENSDARG00000018976","ENSDARP00000109825","danio_rerio","all life"
"000000331","ENSDARG00000021059","ENSDARP00000005771","danio_rerio","all life"
"000000331","ENSDARG00000030743","ENSDARP00000146370","danio_rerio","all life"
"000000331","ENSDARG00000038643","ENSDARP00000056419","danio_rerio","all life"
"000000331","ENSDARG00000042995","ENSDARP00000123531","danio_rerio","all life"
"000000331","ENSG00000172296","ENSP00000381968","homo_sapiens","all life"
"000000331","ENSMUSG00000006378","ENSMUSP00000006544","mus_musculus","all life"
"000000331","ENSMUSG00000021036","ENSMUSP00000021424","mus_musculus","all life"
"000000331","ENSMUSG00000021468","ENSMUSP00000021920","mus_musculus","all life"
"000000331","ENSMUSG00000025270","ENSMUSP00000066040","mus_musculus","all life"
"000000331","ENSMUSG00000032786","ENSMUSP00000117014","mus_musculus","all life"
"000000331","ENSMUSG00000039092","ENSMUSP00000048313","mus_musculus","all life"
"000000331","ENSMUSG00000116378","ENSMUSP00000131649","mus_musculus","all life"
"000000331","FBgn0002524","FBpp0080297","drosophila_melanogaster","all life"
"000000331","FBgn0020764","FBpp0072060","drosophila_melanogaster","all life"
"000000331","FBgn0086532","FBpp0086842","drosophila_melanogaster","all life"
"000000331","SPAC21E11.08","SPAC21E11.08.1:pep","schizosaccharomyces_pombe","all life"
"000000331","SPAC2F3.09","SPAC2F3.09.1:pep","schizosaccharomyces_pombe","all life"
"000000331","WBGene00018398","F43H9.2b.1","caenorhabditis_elegans","all life"
"000000331","YDR062W","YDR062W","saccharomyces_cerevisiae","all life"
"000000331","YDR232W","YDR232W","saccharomyces_cerevisiae","all life"
"000000331","b0776","AAC73863","escherichia_coli","all life"
"000000341","AT1G12770","AT1G12770.2","arabidopsis_thaliana","all life"
"000000341","AT1G20920","AT1G20920.3","arabidopsis_thaliana","all life"
"000000341","AT1G31970","AT1G31970.1","arabidopsis_thaliana","all life"
"000000341","AT1G54270","AT1G54270.1","arabidopsis_thaliana","all life"
"000000341","AT1G55150","AT1G55150.2","arabidopsis_thaliana","all life"
"000000341","AT1G59990","AT1G59990.1","arabidopsis_thaliana","all life"
"000000341","AT1G63250","AT1G63250.1","arabidopsis_thaliana","all life"
